,,,-0.1089,-1.6
,,,-0.1088,-1.56
,,,-0.1087,-1.56
,,,-0.1086,-1.52
,,,-0.1085,-1.48
,,,-0.1084,-1.44
,,,-0.1083,-1.36
,,,-0.1082,-1.32
,,,-0.1081,-1.28
,,,-0.108,-1.24
,,,-0.1079,-1.12
,,,-0.1078,-1.04
,,,-0.1077,-0.92
,,,-0.1076,-0.6
,,,-0.1075,-0.36
,,,-0.1074,-0.24
,,,-0.1073,-0.12
,,,-0.1072,0
,,,-0.1071,0
,,,-0.107,0.04
,,,-0.1069,0.08
,,,-0.1068,0.08
,,,-0.1067,0.12
,,,-0.1066,0.12
,,,-0.1065,0.12
,,,-0.1064,0.16
,,,-0.1063,0.16
,,,-0.1062,0.16
,,,-0.1061,0.16
,,,-0.106,0.16
,,,-0.1059,0.16
,,,-0.1058,0.16
,,,-0.1057,0.12
,,,-0.1056,0.12
,,,-0.1055,0.12
,,,-0.1054,0.12
,,,-0.1053,0.12
,,,-0.1052,0.12
,,,-0.1051,0.12
,,,-0.105,0.12
,,,-0.1049,0.12
,,,-0.1048,0.12
,,,-0.1047,0.08
,,,-0.1046,0.12
,,,-0.1045,0.08
,,,-0.1044,0.08
,,,-0.1043,0.08
,,,-0.1042,0.08
,,,-0.1041,0.08
,,,-0.104,0.08
,,,-0.1039,0.08
,,,-0.1038,0.08
,,,-0.1037,0.08
,,,-0.1036,0.04
,,,-0.1035,0.04
,,,-0.1034,0
,,,-0.1033,0
,,,-0.1032,0.04
,,,-0.1031,0.04
,,,-0.103,0.04
,,,-0.1029,0.04
,,,-0.1028,0.04
,,,-0.1027,0.04
,,,-0.1026,0.08
,,,-0.1025,0.08
,,,-0.1024,0.08
,,,-0.1023,0.04
,,,-0.1022,0.08
,,,-0.1021,0.04
,,,-0.102,0.04
,,,-0.1019,0.04
,,,-0.1018,0.04
,,,-0.1017,0.04
,,,-0.1016,0
,,,-0.1015,0.04
,,,-0.1014,0.04
,,,-0.1013,0
,,,-0.1012,0
,,,-0.1011,0
,,,-0.101,0
,,,-0.1009,0.04
,,,-0.1008,0
,,,-0.1007,0
,,,-0.1006,0
,,,-0.1005,0.04
